shot_id_number,is_goal,remaining_min,power_of_shot,knockout_match,distance_of_shot,game_season,area_of_shot,shot_basics,range_of_shot,home/away,type_of_shot
70.0,1.0,7.02,1.0,0,20.0,2000-01,Center(C),Goal Area,Less Than 8 ft.,0,Shot - 1
71.0,,5.25,1.0,0,39.0,2000-01,Right Side(R),Mid Range,16-24 ft.,0,shot - 9
72.0,,3.18,1.0,0,45.0,2000-01,Center(C),Penalty Spot,24+ ft.,0,Shot - 3
73.0,1.0,7.93,2.0,0,20.0,2000-01,Center(C),Goal Area,Less Than 8 ft.,0,Shot - 4
74.0,0.0,2.67,2.0,0,27.0,2000-01,Center(C),Mid Range,Less Than 8 ft.,0,shot - 0
75.0,0.0,0.47,2.0,0,45.0,2000-01,Right Side Center(RC),Penalty Spot,24+ ft.,0,shot - 1
76.0,,11.03,3.0,0,42.0,2000-01,Left Side Center(LC),Mid Range,16-24 ft.,0,shot - 36
77.0,0.0,9.17,3.0,0,35.0,2000-01,Center(C),Goal Line,Less Than 8 ft.,0,shot - 1
78.0,0.0,7.4,3.0,0,33.0,2000-01,Left Side(L),Mid Range,8-16 ft.,0,shot - 36
79.0,0.0,0.02,3.0,0,28.0,2000-01,Left Side(L),Goal Line,8-16 ft.,0,shot - 2
80.0,,11.82,4.0,0,27.0,2000-01,Center(C),Goal Line,Less Than 8 ft.,0,shot - 22
81.0,1.0,5.02,4.0,0,33.0,2000-01,Center(C),Goal Line,8-16 ft.,0,shot - 20
82.0,0.0,0.77,4.0,0,35.0,2000-01,Center(C),Mid Range,8-16 ft.,0,Shot - 3
83.0,0.0,11.68,1.0,0,44.0,2000-01,Right Side Center(RC),Penalty Spot,24+ ft.,0,shot - 15
84.0,0.0,5.98,1.0,0,20.0,2000-01,Center(C),Goal Area,Less Than 8 ft.,0,shot - 12
85.0,,9.8,1.0,0,27.0,2000-01,Center(C),Goal Line,Less Than 8 ft.,0,Shot - 3
86.0,,7.43,3.0,0,33.0,2000-01,Left Side(L),Mid Range,8-16 ft.,0,Shot - 3
87.0,,6.6,1.0,0,38.0,2000-01,Right Side Center(RC),Mid Range,16-24 ft.,0,shot - 10
88.0,1.0,5.9,1.0,0,39.0,2000-01,Center(C),Mid Range,16-24 ft.,0,shot - 10
89.0,1.0,2.4,1.0,0,35.0,2000-01,Right Side(R),Mid Range,8-16 ft.,0,Shot - 3
90.0,1.0,1.8,1.0,0,34.0,2000-01,Right Side(R),Mid Range,8-16 ft.,0,shot - 15
91.0,1.0,1.42,1.0,0,35.0,2000-01,Center(C),Mid Range,8-16 ft.,0,Shot - 3
92.0,,0.78,1.0,0,35.0,2000-01,Left Side(L),Mid Range,8-16 ft.,0,shot - 54
93.0,0.0,5.95,2.0,0,33.0,2000-01,Right Side(R),Mid Range,8-16 ft.,0,Shot - 3
94.0,0.0,9.62,2.0,0,35.0,2000-01,Right Side(R),Mid Range,8-16 ft.,0,shot - 49
95.0,,4.42,2.0,0,33.0,2000-01,Right Side(R),Mid Range,8-16 ft.,0,Shot - 3
96.0,1.0,3.83,2.0,0,45.0,2000-01,Center(C),Penalty Spot,24+ ft.,0,Shot - 3
97.0,,3.25,2.0,0,38.0,2000-01,Left Side Center(LC),Mid Range,16-24 ft.,0,shot - 12
98.0,0.0,0.47,2.0,0,44.0,2000-01,Left Side Center(LC),Penalty Spot,24+ ft.,0,shot - 51
99.0,1.0,0.8,3.0,0,34.0,2000-01,Right Side(R),Mid Range,8-16 ft.,0,Shot - 3
100.0,0.0,11.47,3.0,0,24.0,2000-01,Center(C),Goal Line,Less Than 8 ft.,0,Shot - 3
101.0,0.0,9.33,3.0,0,35.0,2000-01,Center(C),Mid Range,8-16 ft.,0,shot - 0
102.0,1.0,7.88,3.0,0,20.0,2000-01,Center(C),Goal Area,Less Than 8 ft.,0,Shot - 1
103.0,1.0,6.67,3.0,0,37.0,2000-01,Right Side Center(RC),Mid Range,16-24 ft.,0,shot - 54
104.0,,4.27,3.0,0,37.0,2000-01,Left Side Center(LC),Mid Range,16-24 ft.,0,shot - 52
105.0,0.0,3.0,3.0,0,32.0,2000-01,Right Side(R),Mid Range,Less Than 8 ft.,0,shot - 15
106.0,0.0,0.8,3.0,0,39.0,2000-01,Left Side(L),Mid Range,16-24 ft.,0,Shot - 3
107.0,0.0,0.35,3.0,0,37.0,2000-01,Left Side(L),Mid Range,16-24 ft.,0,Shot - 3
108.0,0.0,10.65,4.0,0,31.0,2000-01,Center(C),Goal Line,8-16 ft.,0,Shot - 3
109.0,0.0,7.13,4.0,0,36.0,2000-01,Left Side Center(LC),Mid Range,16-24 ft.,0,Shot - 3
110.0,1.0,6.42,4.0,0,36.0,2000-01,Left Side(L),Mid Range,16-24 ft.,0,Shot - 3
111.0,0.0,5.23,4.0,0,29.0,2000-01,Left Side(L),Goal Line,8-16 ft.,0,Shot - 3
112.0,0.0,3.63,4.0,0,27.0,2000-01,Center(C),Goal Line,Less Than 8 ft.,0,Shot - 3
113.0,,0.72,4.0,0,41.0,2000-01,Left Side Center(LC),Mid Range,16-24 ft.,0,shot - 49
114.0,0.0,11.15,1.0,0,41.0,2000-01,Left Side Center(LC),Mid Range,16-24 ft.,1,shot - 17
115.0,0.0,10.28,1.0,0,20.0,2000-01,Center(C),Goal Area,Less Than 8 ft.,1,shot - 4
116.0,0.0,5.38,1.0,0,20.0,2000-01,Center(C),Goal Area,Less Than 8 ft.,1,shot - 46
117.0,0.0,9.35,1.0,0,20.0,2000-01,Center(C),Goal Area,Less Than 8 ft.,1,Shot - 5
118.0,1.0,3.03,1.0,0,20.0,2000-01,Center(C),Goal Area,Less Than 8 ft.,1,Shot - 1
119.0,1.0,0.73,1.0,0,20.0,2000-01,Center(C),Goal Area,Less Than 8 ft.,1,Shot - 4
120.0,0.0,0.35,1.0,0,36.0,2000-01,Right Side Center(RC),Mid Range,16-24 ft.,1,Shot - 3
121.0,1.0,8.83,2.0,0,38.0,2000-01,Left Side Center(LC),Mid Range,16-24 ft.,1,shot - 36
122.0,,8.3,2.0,0,20.0,2000-01,Center(C),Goal Area,Less Than 8 ft.,1,shot - 32
123.0,,2.67,2.0,0,36.0,2000-01,Center(C),Mid Range,16-24 ft.,1,shot - 4
124.0,1.0,0.47,2.0,0,20.0,2000-01,Center(C),Goal Area,Less Than 8 ft.,1,shot - 54
125.0,1.0,0.07,2.0,0,47.0,2000-01,Center(C),Penalty Spot,Less Than 8 ft.,1,Shot - 3
126.0,,9.98,3.0,0,36.0,2000-01,Left Side Center(LC),Mid Range,16-24 ft.,1,Shot - 3
127.0,1.0,8.63,3.0,0,35.0,2000-01,Right Side(R),Mid Range,8-16 ft.,1,Shot - 3
128.0,1.0,5.3,3.0,0,35.0,2000-01,Left Side(L),Mid Range,8-16 ft.,1,Shot - 3
129.0,0.0,4.57,3.0,0,35.0,2000-01,Left Side(L),Mid Range,8-16 ft.,1,shot - 42
130.0,0.0,3.85,3.0,0,37.0,2000-01,Left Side(L),Mid Range,16-24 ft.,1,shot - 12
131.0,0.0,3.67,3.0,0,29.0,2000-01,Center(C),Goal Line,8-16 ft.,1,shot - 21
132.0,1.0,3.55,3.0,0,31.0,2000-01,Center(C),Goal Line,8-16 ft.,1,Shot - 3
133.0,,2.93,3.0,0,20.0,2000-01,Center(C),Goal Area,Less Than 8 ft.,1,shot - 46
134.0,,2.08,3.0,0,37.0,2000-01,Left Side(L),Mid Range,16-24 ft.,1,Shot - 3
135.0,0.0,0.23,3.0,0,37.0,2000-01,Left Side Center(LC),Mid Range,16-24 ft.,1,Shot - 3
136.0,0.0,10.87,4.0,0,24.0,2000-01,Center(C),Goal Line,Less Than 8 ft.,1,Shot - 3
137.0,0.0,6.57,4.0,0,31.0,2000-01,Left Side(L),Mid Range,8-16 ft.,1,Shot - 3
138.0,0.0,4.95,4.0,0,25.0,2000-01,Center(C),Goal Line,Less Than 8 ft.,1,shot - 17
139.0,1.0,3.47,4.0,0,20.0,2000-01,Center(C),Goal Area,Less Than 8 ft.,1,Shot - 1
140.0,1.0,1.63,4.0,0,25.0,2000-01,Center(C),Goal Line,Less Than 8 ft.,1,shot - 44
141.0,,1.08,4.0,0,25.0,2000-01,Center(C),Goal Line,Less Than 8 ft.,1,Shot - 3
142.0,0.0,1.05,4.0,0,20.0,2000-01,Center(C),Goal Area,Less Than 8 ft.,1,Shot - 5
143.0,0.0,7.72,1.0,0,20.0,2000-01,Center(C),Goal Area,Less Than 8 ft.,1,shot - 4
144.0,,4.87,1.0,0,43.0,2000-01,Right Side(R),Right Corner,24+ ft.,1,shot - 45
145.0,1.0,3.13,1.0,0,20.0,2000-01,Center(C),Goal Area,Less Than 8 ft.,1,Shot - 1
146.0,1.0,2.42,1.0,0,32.0,2000-01,Right Side(R),Mid Range,8-16 ft.,1,Shot - 3
147.0,1.0,0.8,1.0,0,33.0,2000-01,Left Side(L),Mid Range,8-16 ft.,1,shot - 0
148.0,0.0,11.27,2.0,0,38.0,2000-01,Right Side(R),Mid Range,16-24 ft.,1,shot - 11
149.0,0.0,10.32,2.0,0,47.0,2000-01,Right Side Center(RC),Penalty Spot,24+ ft.,1,Shot - 3
150.0,,10.08,2.0,0,35.0,2000-01,Center(C),Goal Area,Less Than 8 ft.,1,shot - 4
151.0,1.0,9.12,2.0,0,40.0,2000-01,Right Side Center(RC),Mid Range,16-24 ft.,1,Shot - 3
152.0,,4.23,2.0,0,36.0,2000-01,Center(C),Mid Range,16-24 ft.,1,shot - 32
153.0,,3.37,2.0,0,35.0,2000-01,Center(C),Goal Area,Less Than 8 ft.,1,shot - 4
154.0,0.0,1.9,2.0,0,20.0,2000-01,Center(C),Goal Area,Less Than 8 ft.,1,shot - 39
155.0,0.0,5.47,2.0,0,20.0,2000-01,Center(C),Goal Area,Less Than 8 ft.,1,shot - 4
156.0,,0.43,2.0,0,20.0,2000-01,Center(C),Goal Area,Less Than 8 ft.,1,Shot - 5
157.0,0.0,10.38,3.0,0,40.0,2000-01,Right Side Center(RC),Mid Range,16-24 ft.,1,Shot - 3
158.0,0.0,5.38,3.0,0,27.0,2000-01,Center(C),Goal Line,Less Than 8 ft.,1,Shot - 3
159.0,,3.88,3.0,0,20.0,2000-01,Center(C),Goal Area,Less Than 8 ft.,1,shot - 24
160.0,1.0,0.62,3.0,0,20.0,2000-01,Center(C),Goal Area,Less Than 8 ft.,1,shot - 32
161.0,1.0,5.72,3.0,0,45.0,2000-01,Right Side Center(RC),Penalty Spot,24+ ft.,1,Shot - 3
162.0,1.0,10.47,4.0,0,20.0,2000-01,Center(C),Goal Area,Less Than 8 ft.,1,Shot - 4
163.0,1.0,10.18,4.0,0,20.0,2000-01,Center(C),Goal Area,Less Than 8 ft.,1,shot - 12
164.0,0.0,5.62,4.0,0,20.0,2000-01,Center(C),Goal Area,Less Than 8 ft.,1,shot - 39
165.0,,5.53,4.0,0,35.0,2000-01,Center(C),Goal Area,Less Than 8 ft.,1,shot - 56
166.0,1.0,11.7,1.0,0,41.0,2000-01,Right Side Center(RC),Mid Range,16-24 ft.,0,shot - 54
167.0,0.0,5.12,1.0,0,41.0,2000-01,Left Side Center(LC),Mid Range,16-24 ft.,0,Shot - 3
168.0,0.0,8.88,1.0,0,36.0,2000-01,Left Side(L),Mid Range,16-24 ft.,0,Shot - 3
169.0,0.0,8.27,1.0,0,27.0,2000-01,Center(C),Goal Line,Less Than 8 ft.,0,Shot - 3
170.0,0.0,7.72,1.0,0,35.0,2000-01,Center(C),Goal Area,Less Than 8 ft.,0,Shot - 4
171.0,1.0,2.78,1.0,0,25.0,2000-01,Center(C),Goal Line,Less Than 8 ft.,0,shot - 12
172.0,,1.6,1.0,0,40.0,2000-01,Right Side Center(RC),Mid Range,16-24 ft.,0,Shot - 3
173.0,0.0,1.47,1.0,0,40.0,2000-01,Right Side(R),Mid Range,16-24 ft.,0,shot - 2
174.0,1.0,8.22,2.0,0,41.0,2000-01,Right Side Center(RC),Mid Range,16-24 ft.,0,shot - 11
175.0,1.0,6.45,2.0,0,36.0,2000-01,Right Side(R),Mid Range,16-24 ft.,0,Shot - 3
176.0,0.0,0.87,2.0,0,38.0,2000-01,Center(C),Mid Range,16-24 ft.,0,Shot - 3
177.0,0.0,0.32,2.0,0,36.0,2000-01,Right Side(R),Mid Range,16-24 ft.,0,Shot - 3
178.0,0.0,0.0,2.0,0,67.0,2000-01,Mid Ground(MG),Mid Ground Line,Back Court Shot,0,Shot - 3
179.0,0.0,8.87,3.0,0,33.0,2000-01,Center(C),Goal Line,Less Than 8 ft.,0,Shot - 3
180.0,0.0,2.92,3.0,0,39.0,2000-01,Right Side(R),Mid Range,16-24 ft.,0,shot - 36
181.0,0.0,0.02,3.0,0,44.0,2000-01,Right Side Center(RC),Penalty Spot,24+ ft.,0,Shot - 3
182.0,,11.73,4.0,0,20.0,2000-01,Center(C),Goal Area,Less Than 8 ft.,0,shot - 1
183.0,0.0,5.3,4.0,0,44.0,2000-01,Center(C),Penalty Spot,24+ ft.,0,Shot - 3
184.0,0.0,5.72,4.0,0,45.0,2000-01,Left Side Center(LC),Penalty Spot,Less Than 8 ft.,0,Shot - 3
185.0,1.0,0.03,4.0,0,44.0,2000-01,Center(C),Penalty Spot,24+ ft.,0,shot - 24
186.0,1.0,2.08,5.0,0,29.0,2000-01,Center(C),Goal Line,8-16 ft.,0,shot - 46
187.0,0.0,2.47,5.0,0,30.0,2000-01,Center(C),Goal Line,8-16 ft.,0,shot - 4
188.0,1.0,0.4,5.0,0,41.0,2000-01,Left Side Center(LC),Mid Range,16-24 ft.,0,shot - 11
189.0,1.0,10.08,1.0,0,39.0,2000-01,Left Side Center(LC),Mid Range,16-24 ft.,0,shot - 49
190.0,0.0,9.12,1.0,0,45.0,2000-01,Right Side Center(RC),Mid Range,24+ ft.,0,Shot - 3
191.0,0.0,8.25,1.0,0,20.0,2000-01,Center(C),Goal Area,Less Than 8 ft.,0,shot - 4
192.0,,6.4,1.0,0,37.0,2000-01,Right Side(R),Mid Range,16-24 ft.,0,shot - 47
193.0,,6.03,1.0,0,20.0,2000-01,Center(C),Goal Area,Less Than 8 ft.,0,shot - 4
194.0,0.0,4.37,1.0,0,38.0,2000-01,Left Side Center(LC),Mid Range,16-24 ft.,0,shot - 3
195.0,1.0,4.15,1.0,0,20.0,2000-01,Center(C),Goal Area,Less Than 8 ft.,0,shot - 1
196.0,,0.3,1.0,0,35.0,2000-01,Right Side(R),Mid Range,8-16 ft.,0,shot - 14
197.0,0.0,11.32,2.0,0,29.0,2000-01,Center(C),Goal Line,8-16 ft.,0,Shot - 3
198.0,1.0,6.85,2.0,0,39.0,2000-01,Right Side Center(RC),Mid Range,16-24 ft.,0,Shot - 3
199.0,1.0,6.18,2.0,0,45.0,2000-01,Right Side Center(RC),Penalty Spot,24+ ft.,0,shot - 53
200.0,0.0,0.47,2.0,0,36.0,2000-01,Right Side(R),Mid Range,16-24 ft.,0,Shot - 3
201.0,0.0,11.28,3.0,0,49.0,2000-01,Left Side Center(LC),Penalty Spot,24+ ft.,0,Shot - 3
202.0,,10.08,3.0,0,37.0,2000-01,Left Side(L),Mid Range,16-24 ft.,0,Shot - 3
203.0,0.0,8.58,3.0,0,36.0,2000-01,Right Side(R),Mid Range,16-24 ft.,0,Shot - 3
204.0,1.0,6.4,3.0,0,35.0,2000-01,Center(C),Mid Range,8-16 ft.,0,Shot - 3
205.0,,5.02,3.0,0,38.0,2000-01,Left Side(L),Mid Range,16-24 ft.,0,Shot - 3
206.0,1.0,3.35,3.0,0,35.0,2000-01,Right Side(R),Right Corner,Less Than 8 ft.,0,shot - 5
207.0,1.0,0.78,3.0,0,35.0,2000-01,Left Side(L),Left Corner,24+ ft.,0,shot - 36
208.0,0.0,11.17,4.0,0,20.0,2000-01,Center(C),Goal Area,Less Than 8 ft.,0,shot - 4
209.0,1.0,7.17,4.0,0,20.0,2000-01,Center(C),Goal Area,Less Than 8 ft.,0,shot - 24
210.0,,5.32,4.0,0,46.0,2000-01,Left Side Center(LC),Penalty Spot,24+ ft.,0,shot - 54
211.0,,3.63,4.0,0,40.0,2000-01,Left Side Center(LC),Mid Range,16-24 ft.,0,Shot - 3
212.0,1.0,1.3,4.0,0,28.0,2000-01,Center(C),Goal Line,8-16 ft.,0,Shot - 3
213.0,0.0,0.77,4.0,0,29.0,2000-01,Center(C),Goal Line,8-16 ft.,0,Shot - 3
214.0,0.0,9.05,1.0,0,44.0,2000-01,Center(C),Penalty Spot,24+ ft.,1,Shot - 3
215.0,0.0,6.17,1.0,0,29.0,2000-01,Center(C),Goal Line,8-16 ft.,1,shot - 41
216.0,1.0,3.17,1.0,0,20.0,2000-01,Center(C),Goal Area,Less Than 8 ft.,1,shot - 12
217.0,0.0,0.22,1.0,0,20.0,2000-01,Center(C),Goal Area,Less Than 8 ft.,1,shot - 39
218.0,1.0,7.47,2.0,0,20.0,2000-01,Center(C),Goal Area,Less Than 8 ft.,1,shot - 12
219.0,0.0,6.05,2.0,0,37.0,2000-01,Right Side Center(RC),Mid Range,16-24 ft.,1,shot - 54
220.0,0.0,0.73,3.0,0,43.0,2000-01,Right Side Center(RC),Mid Range,16-24 ft.,1,Shot - 3
221.0,1.0,11.4,3.0,0,20.0,2000-01,Center(C),Goal Area,Less Than 8 ft.,1,Shot - 1
222.0,1.0,10.32,3.0,0,20.0,2000-01,Center(C),Goal Area,Less Than 8 ft.,1,shot - 39
223.0,0.0,9.75,3.0,0,38.0,2000-01,Right Side Center(RC),Mid Range,16-24 ft.,1,Shot - 3
224.0,1.0,7.37,3.0,0,40.0,2000-01,Right Side Center(RC),Mid Range,16-24 ft.,1,shot - 45
225.0,0.0,5.72,3.0,0,32.0,2000-01,Center(C),Goal Line,8-16 ft.,1,shot - 40
226.0,1.0,4.92,3.0,0,31.0,2000-01,Left Side(L),Goal Line,8-16 ft.,1,shot - 44
227.0,0.0,1.57,3.0,0,20.0,2000-01,Center(C),Goal Area,Less Than 8 ft.,1,Shot - 4
228.0,,0.07,3.0,0,20.0,2000-01,Center(C),Goal Area,Less Than 8 ft.,1,Shot - 1
229.0,0.0,11.22,4.0,0,47.0,2000-01,Right Side Center(RC),Penalty Spot,24+ ft.,1,Shot - 3
230.0,0.0,10.87,4.0,0,35.0,2000-01,Left Side Center(LC),Mid Range,16-24 ft.,1,shot - 37
231.0,0.0,10.2,4.0,0,20.0,2000-01,Center(C),Goal Area,Less Than 8 ft.,1,Shot - 4
232.0,0.0,10.13,4.0,0,20.0,2000-01,Center(C),Goal Area,Less Than 8 ft.,1,Shot - 4
233.0,1.0,2.47,4.0,0,28.0,2000-01,Center(C),Goal Line,8-16 ft.,1,Shot - 3
234.0,0.0,1.62,4.0,0,38.0,2000-01,Left Side Center(LC),Mid Range,16-24 ft.,1,shot - 11
235.0,0.0,0.52,4.0,0,41.0,2000-01,Left Side(L),Mid Range,16-24 ft.,1,shot - 45
236.0,1.0,10.08,1.0,0,38.0,2000-01,Left Side Center(LC),Mid Range,16-24 ft.,1,shot - 19
237.0,0.0,8.0,1.0,0,38.0,2000-01,Center(C),Mid Range,16-24 ft.,1,Shot - 3
238.0,0.0,4.97,1.0,0,45.0,2000-01,Center(C),Penalty Spot,24+ ft.,1,Shot - 3
239.0,1.0,2.6,1.0,0,20.0,2000-01,Center(C),Goal Area,Less Than 8 ft.,1,shot - 4
240.0,0.0,2.33,1.0,0,20.0,2000-01,Center(C),Goal Area,Less Than 8 ft.,1,Shot - 4
241.0,1.0,2.13,1.0,0,20.0,2000-01,Center(C),Goal Area,Less Than 8 ft.,1,shot - 12
242.0,1.0,1.72,1.0,0,46.0,2000-01,Right Side Center(RC),Penalty Spot,24+ ft.,1,shot - 5
243.0,1.0,10.28,2.0,0,20.0,2000-01,Center(C),Goal Area,Less Than 8 ft.,1,Shot - 1
